Ref,__,A,B,C,__,____,_____,____
QA864,_____________________________________________?,5_____0.02_,10_____0.2_,15_____0.2_,C,X,,_3_ - __2.23
QA865,____________________?,_____,__________,______,C,X,,_3_ - __2.22
QA866,______________________________?,0.02_,0.2_,2_,B,X,X,_3_ - __2.22
QA867,_____________________?,______,________,___________,A,X,,_3_ - __2.22
QA868,__________________________________,____,______,______,B,X,X,_5_ -__5.50
QA869,_________________________________________________________,_____________,________________,______,C,X,,_3_ - __2.40
QA870,________________________?,______,______,______,B,X,,_3_ - __2.40
QA871,____________________________________?,____,____,________________,B,X,,_3_ - __2.17
QA872,____________________________?,65__(A),75__(A),85__(A),C,X,,_3_ - __2.41
QA873,_________________,__________________,___________________,_________,C,X,X,Off-job
QA874,__________________?,_______,___________________,_____,B,X,,_3_ - __2.40
QA875,_________________________?,1_,2 _,3_,B,X,X,_3_ - __2.31
QA876,________________________________,__,__,__,C,X,X,____
QA877,______________,22,24,26,B,X,X,_______
QA878,_________________,____,____,______,B,X,X,____
QA879,___________________,5,6,8,A,X,X,_______
QA880,______________,1970,1980,1990,B,X,X,___
QA881,_____________,___,__,__,B,X,X," ___"
QA882,__________________,______,__,____,B,X,X,____
QA883,___________________,__,___,__,A,X,X,__
QA884,_____________,_,_,_,B,X,X,___
QA885,_____________,____,___,_____,A,X,X,__
QA886,________________________,________,_______,_______,A,X,X,__
QA887,_______________________ __,____,____,____,A,X,X,__
QA888,____________ …,_______,_______,_____,A,X,X,___
QA889,_______________…,____,____________,____,B,X,X,__
QA890,________________________,__,__,__,B,X,X,__
QA891,________________?,_,__,__,B,X,X,__
QA892,__________________?,_____________,_____,_____,B,X,,_3_ - __2.42
QA893,_____________________,__,__,___,B,X,,____
QA894,____________________?,______,________,____,B,X,X,_5_ -__4.11
QA895,____________________________________?,14,15,16,B,X,,___
QA896,_______________________________________?,1400,1500,1600,B,X,,___
QA897,_____________________________________________(kg)__?,500 __(kg),600 __(kg),1000 __(kg),A,X,,___
QA898,________________________?,________,_______,______,C,X,X,___
QA899,_________________?,________________,________________,_________________,A,X,,___
QA900,____________________________________?,___,____,__,B,X,,___
QA901,"__________""_______""______________?",____,____,____,C,X,,___
QA902,_______________________________,60__,80__,100__,C,X,X,CLP Web
QA903,__________________,__,__,___,B,X,X,CLP Web
QA904,________________________________,__,__,___,C,X,X,CLP Web
QA905,_______________________,___,___,___,C,X,X,EPD Web
QA906,________________(________________)______________________,_______,_______,_______,C,X,X,EPD Web
QA907,_______________________________________________________,3__,5__,7__,B,X,X,EPD Web
QA908,________________,___,__,____,A,X,X,EPD Web
QA909,________________________________________?,__400 __,__500 __,__600 __,C,X,,STD-001 Cat 2
QA910,_____________________?,___,____,____,B,X,,STD-001 Cat 2
QA911,________________________6____________?,______,___________________, ______,C,X,,STD-001 Cat 2
QA912,___________________,_________________,__________3_______________________, ______,C,X,,STD-001 Cat 2
QA913,________________________________________,_____,_____ (____),__,B,X,,STD-001 Cat 2
QA914,________________,______,______, ______,C,X,,STD-001 Cat 2
QA915,______________________,1.5_,1.58_,1.68_,C,X,X,STD-001 Cat 2
QA916,"_________,_______________________________________________________",20 - 24 C,22 - 25 C,23 - 26 C,C,X,X,STD-001 Cat 2
QA917,___________________________________________?,55dB(A),60dB(A),65dB(A),B,X,X,STD-001 Cat 2
QA918,_____(SHEQ-STD-001)________ _?,__,___,___,C,X,X,_5_ -__5.01
QA919,____________________?,____,____,______,C,X,X,_5_ -__5.56
QA920,___________________,_____,____,______,C,X,X,Off-job
QA921,___ _____________:,____,_________,______,C,X,X,EMSD
QA922,"____________,___________________?",____,____,______,C,X,X,EMSD
QA923,___________________?,1  _,5_,1 0 _,C,X,X,EMSD
QA924,_________________?,________,______,_____________,B,X,X,EMSD
QA925,_____________________________?,4,5,6,A,X,X,EMSD
QA926,___________________?,___,___,___,B,X,X,EMSD
QA927,__V______________?,0.001,0.003,0.005,A,X,X,___
QA928,_________________________?,______ (______),________,______,C,X,X,___
QA929,______________?,___________,___,__,A,X,X,___
QA930,________________?,___,___,______,C,X,X,___
QA931,_______________________?,20____________________________,_______10000_ _____,_______5000_ _____,A,X,X,___
QA932,"________________________,  ____________________?",15_,30_,60_,B,X,X,___
QA933,______________________,_______________,___________________,_________,A,X,X,_________
QA934,_________________,____________,_______________,_________,A,X,X,_________
QA935,________________,_____________,____,____,A,X,X,_________
QA936,________________________,_________________,______________,_________,A,X,X,_________
QA937,____________________,__,__,__,B,X,X,_________
QA938,________________________,300_500__,500_700__,700_900__,B,X,X,_________
QA939,___________________________,____,__,______,C,X,X,_________
QA940,___________________________________________________,____,___,___,B,X,X,_________
QA941,_______________________________________________________,______,_______,______,A,X,X,_________
QA942,________________________________________________________,_____,________,______,B,X,X,_________
QA943,_________________________________________________________________,________,______,_______,C,X,X,_________
QA944,_______________________________________________________________________________,3_,5_,10_,C,X,X,_________
QA945,______________________________________10____________________________________,3_,5_,6_,A,X,X,_________
QA946,__________________________,____________________,________,_________,A,X,X,_________
QA947,______________________________________,_________________,__10_________________,_____________,A,X,X,_________
QA948,_______________________________________,____________________,______,_____________,A,X,X,_________
QA949,__________________________________________________,____,____,____,B,X,X,_________
QA950,___________________________________________________,3_,5_,10_,C,X,X,_________
QA951,_________________________________,__,__,______,B,X,X,_________
QA952,_______________________________________________,45_,60_,75_,A,X,X,_________
QA953,________________________________________,__60__,__50__,__40__,B,X,X,_________
QA954,___________________________,_________,__________,_______________,C,X,X,_________
QA955,_____________-_________________________________,2.5__,3.5__,4.5__,C,X,X,_________
QA956,_______________________________________,_______,_______________,_________,C,X,X,_________
QA957,____________________________________________________________,55__,25__,16__,C,X,X,_________
QA958,________________________________________,____,____,____,B,X,X,_________
QA959,______________________________,____,____,____,B,X,X,_________
QA960,___________________________,_____,_______,____,A,X,X,_________
QA961,_______________________,_______,____,____,C,X,X,_________
QA962,_________________,______________,_______,___________,A,X,X,_________
QA963,___________________________________________,C_,T_,S_,C,X,X,_________
QA964,_____________________,________,_________,_____________,C,X,X,_________
QA965,_______________________,__,___,___,B,X,X,_________
QA966,_95%______________________________,_______________,_______________,_______________,C,X,X,_________
QA967,______________________________________,__,___,___,A,X,X,_________
QA968,_______________________________________________________,50___,100___,200___,C,X,X,_________
QA969,_____________________________,____,_________,______,B,X,,_________
QA970,__________________,_________,_____,____,A,X,X,_________
QA971,______________________________,____,____,____,B,X,X,_________
QA972,___________________,_____,_____,______,C,X,X,_________
QA973,________________________,_____,____,__,A,X,X,_________
QA974,______________________________,________,_______,______________,B,X,X,_________
QA975,_______________?,________,_______,_______,A,X,X,_________
QA976,________________________?,________,___________,____________,A,X,X,_________
QA977,_________________________________________________,7,14,21,A,X,,_________
QA978,______________________________________________________________,___________,____________________,_____________,B,X,X,_________
QA979,_________________________________,100-200lux,200-500lux,500-800lux,B,X,X,_________
QA980,________________________________5S_____________,_____________________,_____________________,_____________________,C,X,X,_________
QA981,________________________,______,______,____,B,X,X,_________
QA982,__________________________________________________,________________,________,________,A,X,X,_________
QA983,__________________,______,______,_______,C,X,X,_________
QA984,___________________________,________,________,_______,C,X,X,_________
QA985,____________________,_____________,____________,________________,A,X,X,_________
QA986,____________________,____________,____,____,C,X,X,_________
QA987,________________,_________,__________,________,B,X,X,_________
QA988,_____________________,________________,__________,________________,B,X,X,_________
QA989,____________________________,_______,_________,________,B,X,X,_________
QA990,________________,_____________,_____________,______________,B,X,X,_________
QA991,________________,______________________,______________________,______________________,A,X,X,_________
QA992,___________________________________________________,___________,_______,____________,C,X,X,_________
QA993,_______________________________________________,______,________,______,B,X,X,_________
QA994,________ToolBoxTalk_____________,___________________,________________,____________________,C,X,,_________
QA995,________________________________________________,_________,________,_____________,C,X,,_________
QA996,__________________________________________________,_______50__________,________1____1_,_____50_90__________,B,X,,_________
QA997,___________________________________,__4_3,____,____,B,X,X,_________
QA998,___________________________________________________,________28____________,__________,________14__________,A,X,,_________
QA999,_____________________________________,____,______,____________,C,X,X,_________
QA1000,__________(____)_______________________________________________,______,______,_______,A,X,X,_________
QA1001,____________________(____)___________________________,5__,10__,20__,C,X,,_________
QA1002,__________(____)________________3________________,_______50___100____2____2___,_______100________,________100____2____2___,C,X,,_________
QA1003,__________________________________,3_,5_,7_,B,X,,_________
QA1004,__________(____)___________________________________,_________________,____,______________________,A,X,,_________
QA1005,____________________,________,_______,____________,B,X,X,_________
QA1006,_____________________,________,_________,____,B,X,X,_________
QA1007,_____________________________,___________,________,____________,A,X,X,_________
QA1008,_____________________,____,____,____,B,X,X,_________
QA1009,_________________________________,_____,__,__,A,X,,_________
QA1010,_________________________________,2_,1.5_,1_,C,X,,_________
QA1011,_______________________________,45_,65_,75_,A,X,,_________
QA1012,__________________________________,________,_____,___________,B,X,,_________
QA1013,__________________________________________,900_1000__,900_1150__,900_1500__,B,X,X,_________
QA1014,_______________________,___,___,____,C,X,X,_________
QA1015,__________________1995_______________________,___,___,_____,C,X,X,_________
QA1016,________________50____________________,________,_________,________,A,X,,_________
QA1017,_________________________________,_______,_________,________,A,X,,_________
QA1018,___________________________________________________,400__,250__,100__,A,X,,_________
QA1019,__________________________________,20__,25__,30__,B,X,,_________
QA1020,______________________________________,20_,50_,100_,B,X,,_________
QA1021,_________________________________,550__,600__,650__,C,X,,_________
QA1022,_________________________________________,100_,40-99_,30-99_,C,X,,_________
QA1023,_______________________________,__,____,____,B,X,,_________
QA1024,_______(__)___________________________________________,___,___,___,C,X,,_________
QA1025,________________________________________________________,50_,100_,200_,B,X,,_________
QA1026,____________________________________________,6_,5_,3_,A,X,,_________
QA1027,_________________________________________________________,7_,14_,28_,A,X,,_________
QA1028,_____________________________________________________________________,7_,14_,28_,B,X,,_________
QA1029,________________________________________,______________,__________________,_______________,B,X,,_________
QA1030,_________________________________________,6_,5_,3_,C,X,,_________
QA1031,__________________________________,6_,5_,3_,A,X,,_________
QA1032,_______________________,________________,____________,________________,B,X,,_________
QA1033,_____________________________________,___________,______,__________,A,X,,_________
QA1034,_________________________________,__,__,__,C,X,X,_________
QA1035,__________________________________,5_,3_,2_,B,X,X,_________
QA1036,_______________________________,90,60,45,C,X,,_________
QA1037,_______________________________________,3_,4_,5_,A,X,,_________
QA1038,_______________________________________,5.5_,4.5_,3.5_,C,X,,_________
QA1039,______________________________________________,150,200,250,B,X,,_________
QA1040,_______________________________,3_,6_,9_,B,X,,_________
QA1041,________________________________________________________,_____,_______,_____,C,X,,_________
QA1042,_________________________________,___________,_________,__________,A,X,,_________
QA1043,__________________________________,30_,60_,90_,A,X,,_________
QA1044,___________________________,3__,6__,9__,C,X,,_________
QA1045,___________________________________,100___,200___,300___,B,X,,_________
QA1046,___________________________________________,5,4,3,C,X,,_________
QA1047,____________________________________________________,7_,14_,1__,B,X,,_________
QA1048,____________________________________________________,_____,_____,_____,B,X,,_________
QA1049,________________,__,___,__,C,X,,_________
QA1050,______________________,5_,15_,50_,B,X,,_________
QA1051,________________________________,___,__,___,A,X,X,_________
QA1052,__________________________________8___________________________,______,____,______,B,X,,_________
QA1053,________________________________________________________,____________,__________________,______,B,X,,_________
QA1054,_____________________________________________________________,__,_____,____,C,X,,_________
QA1055,_____________________________________________,________,________,______,B,X,,_________
QA1056,____________________________________________,_______,________,______,B,X,,_________
QA1057,_____________________________________________________________,___________,______________________,_______________________,C,X,,_________
QA1058,______________________________,3D___,4M1E____________,5S________,C,X,,_________
QA1059,________________________________,____________,__________,__________,A,X,,_________
QA1060,_______________,15.5-21%,17.5-23%,19.5-23%,C,X,X,_________
QA1061,_______(__)___________________2_____________________________,____,______,_________,C,X,X,_________
QA1062,___________30___________8________3___________________,30_,50_,70_,B,X,X,_________
QA1063,___________________________________________,___,_____,____,B,X,X,_________
QA1064,____________________________,___,_____,_____,C,X,X,_________
QA1065,________________,____,____,______,B,X,X,_________
QA1066,_______(__)____6_______________________________________,7_,14_,28_,A,X,,_________
QA1067,_____(__)______________________,200-400__,750-900__,1200-1350__,B,X,,_________
QA1068,_____________________,______,______________,________,B,X,,_________
QA1069,_____________________,_____________,__________,______________,C,X,,_________
QA1070,___________________________,__,__,__,C,X,X,_________
QA1071,________________18_______________________________,_____,________________________,__________,B,X,X,_________
QA1072,___2003_____(__)(__)___________________________________________________________,__________,___,________________________,C,X,,_________
QA1073,________(_________)___________,2002__3_1_,2003__3_1_,2004__3_1_,C,X,,_________
QA1074,_______________,AS/NZS1810,CSAZ49.1,GB2811,C,X,X,_________
QA1075,____________________,____,____,____,B,X,X,_________
QA1076,__________________________,__________,__________,__________,C,X,X,_________
QA1077,____2006_5__________________________?,_________,______________,__________,C,X,X,_________
QA1078,________BS7883:2005____________________,1_____,2_____,3_____,B,X,,_________
QA1079,____________________________________,460__,480__,500__,A,X,,_________
QA1080,_____________________,____,_______,_________,B,X,,_________
QA1081,_________________________,0.5_,1_,1.5_,B,X,X,_________
QA1082,____________________________________________________,0.1,0.15,0.25,C,X,,_________
QA1083,____________________________________,___,____,________,B,X,,_________
QA1084,________________________________________________________,______________,______________,_______________,B,X,,_________
QA1085,________________________,100___,200___,300___,B,X,,_________
QA1086,_______________________________________,6__,9__,12__,A,X,,_________
QA1087,__________________,________,______,________,C,X,,_________
QA1088,________(_____)__________________________________,___,___,__,C,X,,_________
QA1089,____________________,3_,4_,7_,B,X,,_________
QA1090,________________________,____,____,____,C,X,X,_________
QA1091,________________________________________________________________,___,___,___,B,X,,_________
QA1092,_______________________________________________,10__,30__,60__,B,X,X,_________
QA1093,______________________________________,450__,650__,900__,A,X,,_________
QA1094,__________________________________________,10_,8_,6_,C,X,,_________
QA1095,___________________________,____,___,___,B,X,,_________
QA1096,________________,____________,________,________,A,X,,_________
QA1097,__________________________________,___,____,___,C,X,,_________
QA1098,__________(__)_____________________________,500__,400__,250__,C,X,,_________
QA1099,________________________________________,10_,15_,20_,B,X,,_________
QA1100,_________________________________________________,____,____,____,B,X,,_________
QA1101,_________________________________________________,2_,3_,4_,B,X,,_________
QA1102,___________________________________________,_____________,____________,___________,B,X,,_________
QA1103,_______________________________________,_______,____________,_______,B,X,X,_________
QA1104,________________________,____________,________,__________,A,X,X,_________
QA1105,__________________,____,_______,_____,B,X,X,_________
QA1106,_____________________,_________,__,_____,A,X,X,_________
QA1107,_______________________,_______,_______,____,A,X,X,_________
QA1108,____________,____,____,____,A,X,X,_________
QA1109,______________,_________________,_________________,__________________,B,X,X,_________
QA1110,____________________,__________,_________,___________,A,X,X,_________
QA1111,____________________,__,__,__,C,X,X,_________
QA1112,_______________________,__,__,__,A,X,X,_________
QA1113,_____________________,__,____,__,B,X,X,_________
QA1114,____________________________,__,__,__,C,X,X,_________
QA1115,_______________,________,_____,_______,A,X,X,_________
QA1116,_______________,________________,__________________,________________,A,X,,_________
QA1117,_________________________________________________,__,__,__,C,X,,_________
QA1118,_________________________,__,___,________,C,X,X,_________
QA1119,_____________________________,_______,_______________,_______,A,X,X,_________
QA1120,_______________________,___________,_____________,___________,B,X,,_________
QA1121,_____________________________,_________,______,___,B,X,,_________
QA1122,___________________,_______________,________________,_____________,B,X,,_________
QA1123,______________________________________________,____,____,____,C,X,,_________
QA1124,________________________________,______,_________,______,B,X,,_________
QA1125,N100____0.3__________________,0.99,0.997,0.9997,C,X,X,_________
QA1126,__________________________________________________,____,_____,______,A,X,,_________
QA1127,_________________________________________________,_____,____,_______,C,X,,_________
QA1128,_______________________________________________,_,____,____,B,X,,_________
QA1129,___________________________________________________,_______,______,______,A,X,,_________
QA1130,________________________________________________________________________,__,__,__,B,X,,_________
QA1131,_____________________________________,_______________,_______________,_______________,C,X,X,_________
QA1132,______________________,___,_____,_____,A,X,X,_________
QA1133,________________________________________,____,_____,_____,A,X,,_________
QA1134,______________________________________,____,_____,_____,B,X,,_________
QA1135,____________________________,_____________,_____________,_____________,C,X,,_________
QA1136,________________4_____________,___________,___________,___________,B,X,X,_________
QA1137,_____________________________,___________,______________,______________,C,X,,_________
QA1138,_____________________________________________,10-25__,25-50__,50-65__,B,X,X,_________
QA1139,_____________________BS EN 1082-1____________________,4Kg,6Kg,8Kg,A,X,,_________
QA1140,_____________________,________________,__________,__________,B,X,X,_________
QA1141,___________6___________________________,__,__,__,A,X,X,_________
QA1142,__________________________________________________,___,___,_______,C,X,,_________
QA1143,_________________________________,________,___________,________,B,X,,_________
QA1144,_______________________________,_______,_____,_____,C,X,,_________
QA1145,________________________,________,____,________,C,X,X,_________
QA1146,_________________________,____,__,__,B,X,X,_________
QA1147,_______________,________,_________,________,B,X,X,_________
QA1148,_________________________,_______,_______,_______,C,X,X,_________
QA1149,__________________________________,____,_________,_________,B,X,X,_________
QA1150,_________________________,__,__,_____,B,X,X,_________
QA1151,_______________________,____,____,________,C,X,X,_________
QA1152,___________________________________,__________,________,__________,A,X,X,_________
QA1153,______________________________________,200__,120__,50__,B,X,X,_________
QA1154,___________,__,__,__,A,X,X,_________
QA1155,____________________,____,____,__,C,X,X,_________
QA1156,_____________,__,__,__,B,X,X,_________
QA1157,______________,15__,9__,5__,B,X,X,_________
QA1158,__________________,2_,4_,6_,B,X,X,_________
QA1159,_________________________,____,____,____,C,X,X,_________
QA1160,______________________________,_____________,____________________,___________________________,C,X,X,_________
QA1161,________________________,______________,________________,_________,B,X,X,_________
QA1162,__________________,_____,_______,__________,C,X,X,_________
QA1163,_______________________,_______,____,_____,A,X,X,_________
QA1164,___________________________________,__,____________,____,B,X,X,_________
QA1165,________________,____________,___________,_________,B,X,X,_________
QA1166,_________________________,___,___,_____,C,X,X,_________
QA1167,___________________________________,__,__,__,A,X,X,_________
QA1168,_________________,__,__,__,A,X,X,_________
QA1169,____________________,____,___,___,C,X,X,_________
QA1170,______________________________________________________________________,30_,20_,10_,C,X,X,_________
QA1171,______________________,________________,________________,______________________,C,X,X,_________
QA1172,______33______________________________________2_____________,3_,2_,1_,C,X,X,_________
QA1173,______________________________,___,___,___,A,X,X,_________
QA1174,___________________________________________,________,_______,__________,C,X,X,_________
QA1175,__________________,____,____,__,C,X,X,_________
QA1176,__________________,_____,_____,___,C,X,X,_________
QA1177,_____________________________________,___________,_________,________,A,X,X,_________
QA1178,________________________________,____,___,______,A,X,X,_________
QA1179,___________________________________,100__,130__,160__,B,X,X,_________
QA1180,___3_______________________,___,___,___,A,X,X,_________
QA1181,________________________________________,_________,_________,_______,C,X,X,_________
QA1182,__________________________________________,___,___,__,B,X,X,_________
QA1183,_________________________________,_____,_____,_____,A,X,X,_________
QA1184,______________________________________________,______,_______,______,C,X,X,_________
QA1185,______________________________,100__x100__,150__x100__,200__x150__,A,X,X,_________
QA1186,__________________________________,___________________,____________,_____________________,C,X,X,_________
QA1187,________________________,___________999, _____________________999__________,_____________,B,X,X,_________
QA1188,__________________________,3,6,9,B,X,X,_________
QA1189,_________________EXIT_____________________,____,____,____,B,X,X,_________
QA1190,____________________________,20,30,40,B,X,X,_________
QA1191,__________________________________________________,12,36,72,A,X,X,_________
QA1192,_____________________________,___,______,______,C,X,X,_________
QA1193,________________________________________________________________,_,_,__,B,X,X,_________
QA1194,___________________________________,_______,_____,_____,A,X,X,_________
QA1195,___________________,______,______,______,C,X,X,_________
QA1196,__________________________________________,__,__,__,A,X,X,_________
QA1197,____________________________________________,700__,600__,500__,C,X,X,_________
QA1198,_____________________________________________,1.5_,2_,2.5_,B,X,X,_________
QA1199,_______________________________________________,1.8-2.3_,2.0-2.5_,2.2-2.7_,B,X,X,_________
QA1200,_________________________________________________________,____________________,_____________________,_______________,B,X,X,_________
QA1201,___________________________________________________,______________,______________,_________,B,X,X,_________
QA1202,__________(_______)_______________________________________________,__________,__________,___________,A,X,X,_________
QA1203,"_________________________________________________________",3_,6_,9_,B,X,X,_________
QA1204,___________________________,_____________,_____________,_________________,C,X,X,_________
QA1205,__________________________________________,_____,_______,___,C,X,X,_________
QA1206,_________________________________,_______,___________,___________,C,X,X,_________
QA1207,____________________________,________,________,____,A,X,X,_________
QA1208,______________,__________________,_________________,_______,A,X,X,_________
QA1209,________________,___________________,__________,______________________,A,X,X,_________
QA1210,_______________________,_____________,__________,__________,A,X,X,_________
QA1211,______________,______________,_____,_____,B,X,X,_________
QA1212,__________________________,_______,_______________,_______________,A,X,X,_________
QA1213,_____________________,_________________,_______________,________________,C,X,X,_________
QA1214,__________________,_________________________,_______________,________________,B,X,X,_________
QA1215,__________________________________________________________,__________,__________,_________,A,X,X,_________
QA1216,________________________________,____,__,__,C,X,X,_________
QA1217,_______________________,______220V,___________________,______,C,X,X,_________
QA1218,__________________________,__,___,____,A,X,X,_________
QA1219,_________________,_____,_______,_______,C,X,X,_________
QA1220,________________________,____,__________,_________,A,X,X,_________
QA1221,_________________________,____,____,____,C,X,X,_________
QA1222,_______________________,50___,30___,20___,B,X,X,_________
QA1223,_2009_7_1_____________________________/_____________,____,____,____,C,X,X,_________
QA1224,_2009_7_1_________________________________________,____,____,____,B,X,X,_________
QA1225,_2009_7_1_________________________________________,____,____,____,A,X,X,_________
QA1226,_________________________,________,_______,________,B,X,X,_________
QA1227,__________________,___________,______________,____________________,A,X,X,_________
QA1228,_____________________________,________,_________,_________,A,X,X,_________
QA1229,______________________________________________________,______50___________,______100___________,______50___________,C,X,X,_________
QA1230,______________________________,______,_____,_____,B,X,X,_________
QA1231,__________________________,_____,_____,_____,A,X,X,_________
QA1232,_____________________,__,__,__,C,X,X,_________
QA1233,________________________,____,_____,__________,C,X,X,_________
QA1234,________________________________________,____,____,____,A,X,X,_________
QA1235,__________________________________________,__,__,__,C,X,X,_________
QA1236,__________________,______,____,__,B,X,X,_________
QA1237,__________________,____,____,____,A,X,X,_________
QA1238,__________________________,__,__,__,A,X,X,_________
QA1239,_______________________,_________,_______________,_______________,C,X,X,_________
QA1240,__________________________,5___,50___,500___,B,X,X,_________
QA1241,_________________________________,______,__________,________,C,X,X,_________
QA1242,___________________200_________________________,1_,3_,5_,C,X,X,_________
QA1243,_________________________,______,______,_______,C,X,X,_________
QA1244,_______________,_______,__________,______________,C,X,X,_________
QA1245,______________________________,_________,_________,_________,A,X,X,_________
QA1246,_______________________________,_________________________,________________,_______________________,C,X,X,_________
QA1247,_________________________,110__,220__,380__,C,X,X,_________
QA1248,_________________________,110__,220__,380__,B,X,X,_________
QA1249,_________________________,110__,220__,380__,A,X,X,_________
QA1250,_______(__)__________________________________,50V_______120V___,50V_______220V___,110V_______220V___,A,X,X,_________
QA1251,___________________________________,0.6_,0.8_,1.2_,A,X,X,_________
QA1252,____________________________,0.15_,0.25_,0.35_,A,X,X,_________
QA1253,____________________________100__________________,3_,4_,5_,C,X,X,_________
QA1254,___________(__)______________________________,________________,__________,_____________,B,X,X,_________
QA1255,___________________________________________________,450,550,600,A,X,X,_________
QA1256,_______________________,____,__,__,A,X,X,_________
QA1257,____________________,___,___,__,B,X,X,_________
QA1258,______________________,_______,________,________,C,X,X,_________
QA1259,_____________________________________,_______________,________,__________,A,X,X,_________
QA1260,_____________________,___,____,__,C,X,X,_________
QA1261,____________________,______,______,______,B,X,X,_________
QA1262,________________________,______________,__________,________,A,X,X,_________
QA1263,____________________________________________________________________,______,______,_______,B,X,X,_________
QA1264,_______________________________________________________,_________________,_______________,________________,B,X,X,_________
QA1265,_______________________________________________________________________,_____________,_____________,____________,A,X,X,_________
QA1266,____________________________________________________,0.5_,1_,3_,B,X,X,_________
QA1267,__________________________________________,5__,10__,15__,B,X,X,_________
QA1268,____________,__,__,_____,C,X,X,_________
QA1269,____________________________,25-38__,30-43__,35-48__,C,X,X,_________
QA1270,___________________,_________________,_________,_________,B,X,X,_________
QA1271,________________________,10-30__,35-60__,60-90__,B,X,X,_________
QA1272,_____________________________,_________,_________,___________,B,X,X,_________
QA1273,__________________,____10_,____,____20_,B,X,X,_________
QA1274,______________________,40-50__,52-60__,60-68__,A,X,X,_________
QA1275,_______________,_90___,_______,_______,B,X,X,_________
QA1276,_____________________________,_,__,__,B,X,X,_________
QA1277,________________________,___,___,_____,C,X,X,_________
QA1278,__________,_______________,_________________,_________________________________,C,X,X,_________
QA1279,_________________,________,___________,____________________,C,X,X,_________
QA1280,_______________________________,________________,_________,____________,B,X,X,_________
QA1281,___________________________________,____,____,____,C,X,X,_________
QA1282,_____________________,__,__,__,A,X,X,_________
QA1283,_____________________,_____5___,_____52____,___________90_,C,X,X,_________
QA1284,____________________,__20-26_______70%_100%,__20-26_______40%_70%,__14-20_______40%_70%,B,X,X,_________
QA1285,___________________________,__,____,__,C,X,X,_________
QA1286,________(______)_________________________,________,__________,____,A,X,X,_________
QA1287,_________________________,__________,_________,_______,A,X,X,_________
QA1288,_____________________/___________________,100,200,300,B,X,X,_________
QA1289,_______________________________,___________,____________,__________,B,X,X,_________
QA1290,____________________________,_____________,________________,________________,B,X,X,_________
QA1291,______________________________________,300,400,500,C,X,X,_________
QA1292,_______________,_________________________,_________________________,________________________,C,X,X,_________
QA1293,____________________,_______,______________,________,B,X,X,_________
QA1294,____(___________)______________,___________,_________,_________,A,X,X,_________
QA1295,__________________________________,_________,______,_______,B,X,X,_________
QA1296,____________________________,_______,_______,__________,C,X,X,_________
QA1297,__________________________________,_____________,_____________,_____________,B,X,X,_________
QA1298,_______________________________________________,________________,________________,________________,C,X,X,_________
QA1299,__________________,______,____,__,A,X,,_________
QA1300,_________________________,__,_____,___,B,X,,_________
QA1301,___________________,______,___________,_________________,C,X,,_________
QA1302,____________________,__,__,__,B,X,,_________
QA1303,_____________________________,_________,_________________,_____________,B,X,,_________
QA1304,_________________________,__________,______________,_____________________,B,X,,_________
QA1305,_________________________,________,__________,__________________,C,X,,_________
QA1306,_______________________________,_______,_________________,_________________,A,X,,_________
QA1307,___________________________,__________,__________,__________,B,X,,_________
QA1308,________________________,____,____,____,A,X,,_________
QA1309,__________________________,__________,____,__________,C,X,,_________
QA1310,________________________,___,__,______,C,X,,_________
QA1311,_______________________,_______________,____________,__________,C,X,,_________
QA1312,___________________,__,__,__,A,X,,_________
QA1313,__________________________,__,___,___,C,X,,_________
QA1314,________________________,_____,_____,_______,C,X,,_________
QA1315,____________________________________________,__,__,__,B,X,,_________
QA1316,_________________________________,"3,000_","2,000_","1,000_",A,X,,_________
QA1317,______________________,__,____,__,C,X,,_________
QA1318,__________________________,__,___,___,C,X,,_________
QA1319,____________________________________________________,__,__,__,C,X,,_________
QA1320,_______________________________________,___________________,______________________,_________________,B,X,,_________
QA1321,___________,______,______,___________,A,X,,_________
QA1322,______________________________,______,________,_____,A,X,,_________
QA1323,___________________,_____________,________________,________________,A,X,,_________
QA1324,______________________________,_____,___,____,B,X,,_________
QA1325,____________________________________________________,______,______,________,A,X,,_________
QA1326,________________________________,__________________,_____________,______,B,X,,_________
QA1327,_________________________________,0.1_/_,0.3_/_,0.5_/_,C,X,,_________
QA1328,____________________,__,__,__,A,X,,_________
QA1329,___________________________,_____,______,__________,C,X,,_________
QA1330,____________________,_,_,_,C,X,,_________
QA1331,______________________________,________________,______,_______,A,X,,_________
QA1332,_________________________,______,____,_____________,C,X,,_________
QA1333,__________________________,_____________,____________,________,B,X,,_________
QA1334,_______________________________,__________,_____________,_______________,B,X,,_________
QA1335,_______________________,______,_____,_____,C,X,,_________
QA1336,_______________________,___________________,___________________,____________________,C,X,,_________
QA1337,________________________,___,___,___,B,X,,_________
QA1338,_______________________________________,______,______,______,B,X,,_________
QA1339,__________________________,_____________,_____________,___________,C,X,,_________
QA1340,__________________________________,________,__________,____________,B,X,,_________
QA1341,_________________________________,_________,_____,_________,A,X,,_________
QA1342,___________________________________________,____,__,__,A,X,,_________
QA1343,__________________________________________________,__100__,__70__,__50__,C,X,,_________
QA1344,__________/___________________,_____,____,____,B,X,,_________
QA1345,_______________________,___________,___________,___________,B,X,,_________
QA1346,_________________________,__________________,__________________,______________,A,X,,_________
